location,opening,source,row_or_symbol,claim_type
01_introduction.md / 1 / block 1,Estimating the remaining compressive strength of an impacted composite requires connecting observabl,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/models.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,cited references; MeanSCPredictor/SpatialCAIActor; all nine methods,problem framing / scope / contribution
01_introduction.md / 1 / block 2,C-scan image regression establishes a route from internal damage information to mechanical assessmen,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/models.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,cited references; MeanSCPredictor/SpatialCAIActor; all nine methods,problem framing / scope / contribution
01_introduction.md / 1 / block 3,Adaptive ultrasonic inspection provides a precedent for choosing subsequent measurements from earlie,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/models.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,cited references; MeanSCPredictor/SpatialCAIActor; all nine methods,problem framing / scope / contribution
01_introduction.md / 1 / block 4,The modalities supply different information at different stages. A surface image is available initia,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/models.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,cited references; MeanSCPredictor/SpatialCAIActor; all nine methods,problem framing / scope / contribution
01_introduction.md / 1 / block 5,We develop a state-dependent multimodal acquisition method with three distinct roles. A frozen visio,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/models.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,cited references; MeanSCPredictor/SpatialCAIActor; all nine methods,problem framing / scope / contribution
01_introduction.md / 1 / block 6,"The study makes three contributions. First, it formulates sequential C-scan acquisition around CAI p",references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/models.py; results/cai_agent_v3/paper_evidence/r1_e2a11154/method_summary.csv,cited references; MeanSCPredictor/SpatialCAIActor; all nine methods,problem framing / scope / contribution
02_related_work.md / 2.1 / block 1,Image-based assessment connects observable damage with a mechanical quantity that matters after impa,references/reference_ledger.csv,hasebe2022data; hasebe2025data; mack2026,literature comparison limited to recorded read extent
02_related_work.md / 2.1 / block 2,A direct journal neighbour is Mack et al.'s ResNet18-based framework for predicting impact energy an,references/reference_ledger.csv,hasebe2022data; hasebe2025data; mack2026,literature comparison limited to recorded read extent
02_related_work.md / 2.1 / block 3,Image regression and selective observation address related but separable questions. A predictor must,references/reference_ledger.csv,hasebe2022data; hasebe2025data; mack2026,literature comparison limited to recorded read extent
02_related_work.md / 2.2 / block 1,Autonomous ultrasonic acquisition already has a substantial conceptual precedent. Fuentes et al. for,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/actor_training.py,fuentes2020; _evaluate_one,literature endpoint comparison / control scope
02_related_work.md / 2.2 / block 2,This distinction also clarifies the status of the fixed controls. A geometry-spread order measures b,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/actor_training.py,fuentes2020; _evaluate_one,literature endpoint comparison / control scope
02_related_work.md / 2.3 / block 1,Dynamic feature acquisition provides the broader learning formulation. Shim et al. jointly learn a c,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/metrics.py,shim2018; janisch2019; covert2023; williams1992; trajectory_objective_mpa,literature formulation / task distinction
02_related_work.md / 2.3 / block 2,Covert et al. develop a greedy dynamic-selection method based on conditional mutual information and ,references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/metrics.py,shim2018; janisch2019; covert2023; williams1992; trajectory_objective_mpa,literature formulation / task distinction
02_related_work.md / 2.3 / block 3,"Together, these lines locate the work between image-based mechanical assessment and sequential infor",references/reference_ledger.csv; src/cmc_bbdm/cai_agent_v3/metrics.py,shim2018; janisch2019; covert2023; williams1992; trajectory_objective_mpa,literature formulation / task distinction
03_framework.md / 3.1 / block 1,The inspection task is to acquire a limited subset of an internal C-scan image while maintaining an ,src/cmc_bbdm/cai_agent_v3/metrics.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_active_image/environment.py,left_error_area_mpa; trajectory_objective_mpa; MeanSCPredictor; NativeCellGrid,task and information contract
03_framework.md / 3.1 / block 2,"After t actions, the observed set is $\Omega_t$ and its binary indicator is $M_t$. The cumulative ac",src/cmc_bbdm/cai_agent_v3/metrics.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_active_image/environment.py,left_error_area_mpa; trajectory_objective_mpa; MeanSCPredictor; NativeCellGrid,task and information contract
03_framework.md / 3.1 / block 3,"Let $X_{\mathrm{obs},t}=M_t\odot X$ denote the logical visible buffer, with the cell mask broadcast ",src/cmc_bbdm/cai_agent_v3/metrics.py; src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_active_image/environment.py,left_error_area_mpa; trajectory_objective_mpa; MeanSCPredictor; NativeCellGrid,task and information contract
