figure_id,figure_title,panel_id,claim_or_role,source_type,source_path,reader_function_or_script,status,notes
figure1,Task-Relevant Information Acquisition,a-d,WHY framework and legal-state flow,governance CSV,artifacts/aei_information_hierarchy/PAPER_POSITIVE_NARRATIVE_MAP.csv,aei_paper_figures._figure1_rows,GO,Conceptual only with no performance value
figure2,What ultrasonic information matters for CAI?,a,U1 and U2 spatial gain and sparse retention,canonical metrics,artifacts/aei_information_hierarchy/PAPER_CANONICAL_METRICS.csv,aei_paper_figures._figure2_rows,GO,Equal-domain CAI-ratio MAE with canonical intervals
figure2,What ultrasonic information matters for CAI?,b,Initial legal state at 3.13 percent,compact state package,results/mavis/p1_state_bank/state_manifest.parquet; results/mavis/p1_state_bank/revealed_measurements/,aei_paper_visual_assets.load_reconstructed_state,GO,Hash-verified c8-2 compact reconstruction not raw full raster
figure2,What ultrasonic information matters for CAI?,c,U3 heterogeneous retrospective opportunity,canonical metrics,artifacts/aei_information_hierarchy/PAPER_CANONICAL_METRICS.csv,aei_paper_figures._figure2_rows,GO,Mechanical oracle versus uniform and registered field-content reference
figure2,What ultrasonic information matters for CAI?,d,CAI-task priority,oracle parquet,results/mva/a2_oracle_value/oracle_values.parquet,aei_paper_visual_assets.load_task_priority_maps,GO,Within-map percentile with top-five cells
figure2,What ultrasonic information matters for CAI?,e,C-scan-content priority,oracle parquet,results/mva/a2_oracle_value/oracle_values.parquet,aei_paper_visual_assets.load_task_priority_maps,GO,Registered normalized-RGB-MSE field-content reference
figure2,What ultrasonic information matters for CAI?,f,CAI-specific excess priority,oracle parquet,results/mva/a2_oracle_value/oracle_values.parquet,aei_paper_visual_assets.load_task_priority_maps,GO,Paired within-map percentile difference not raw utility
figure2,What ultrasonic information matters for CAI?,caption,U4 cross-objective aggregate context,JSON summary,results/mavis_science_closure/p14_task_specificity/summary.json,aei_paper_figures._figure2_rows,GO,Canonical directions and source hashes unchanged
figure3,Why must measurement value be state-conditioned?,a,Initial strict-OOF priority,state and action parquet,results/mavis/p1_state_bank/state_manifest.parquet; results/mavis/p3_dynamic_voi/action_scores.parquet,aei_paper_visual_assets.load_priority_state,GO,c8-2 at 3.13 percent
figure3,Why must measurement value be state-conditioned?,b,Updated strict-OOF priority,state and action parquet,results/mavis/p1_state_bank/state_manifest.parquet; results/mavis/p3_dynamic_voi/action_scores.parquet,aei_paper_visual_assets.load_priority_state,GO,c8-2 at 18.75 percent on same trajectory
figure3,Why must measurement value be state-conditioned?,c,Registered acquisition history,state manifest,results/mavis/p1_state_bank/state_manifest.parquet,aei_paper_visual_assets.load_reconstructed_state,GO,Stored acquisition ordering with initial/latest markers
figure3,Why must measurement value be state-conditioned?,d,O2 state-evolution curves,JSON summary,results/mavis_science_closure/p9_value_evolution/summary.json,aei_paper_figures._figure3_rows,GO,Strict-OOF teacher aggregate over normalized cost
figure3,Why must measurement value be state-conditioned?,e,O4 dynamic versus static and O1 static reference,canonical metrics,artifacts/aei_information_hierarchy/PAPER_CANONICAL_METRICS.csv,aei_paper_figures._figure3_rows,GO,Negative regret contrast favors dynamic valuation
figure3,Why must measurement value be state-conditioned?,f,U5 predictor dependence,canonical metrics,artifacts/aei_information_hierarchy/PAPER_CANONICAL_METRICS.csv,aei_paper_figures._figure3_rows,GO,Full-state MAE context bounds unequal-predictor comparison
figure4,From state-conditioned value to cost-constrained decision,a,O3 and O4 matched source controls,canonical metrics and control CSV,artifacts/aei_information_hierarchy/PAPER_CANONICAL_METRICS.csv; results/mavis_science_closure/p10_mris_causal/contrasts.csv,aei_paper_figures._figure4_rows,GO,Frozen reconstruction control is visibly named field-content control
figure4,From state-conditioned value to cost-constrained decision,b,A1 valuation and planning substitutions,canonical metrics,artifacts/aei_information_hierarchy/PAPER_CANONICAL_METRICS.csv,aei_paper_figures._figure4_rows,GO,Retrospective non-deployable substitutions
figure4,From state-conditioned value to cost-constrained decision,c,A2 cost-constrained set realization,canonical metrics,artifacts/aei_information_hierarchy/PAPER_CANONICAL_METRICS.csv,aei_paper_figures._figure4_rows,GO,Registered two-action pool at 6.25 percent
figure4,From state-conditioned value to cost-constrained decision,d,A4 deployment calibration,canonical metrics and frozen endpoint,results/mavis/p7_final_frozen_eval/claim_evidence.csv,aei_paper_figures._figure4_rows,GO,Subordinate signed effect with negative favoring static reference
supplementary_figure_s1,Cross-domain state-priority gallery,a-l,Initial and 18.75 percent overlays for six domains,state and action parquet,results/mavis/p1_state_bank/state_manifest.parquet; results/mavis/p1_state_bank/revealed_measurements/; results/mavis/p3_dynamic_voi/action_scores.parquet,aei_paper_visual_assets.load_gallery_states,GO,Lexicographically first specimen per sorted domain
